atuin,ellie/atuin
bandwhich,imsnif/bandwhich
bat,sharkdp/bat
comrak,kivikakk/comrak
coreutils,coreutils/coreutils
delta,dandavison/delta
deltalake,delta-io/delta
devspace,loft-sh/devspace
diffr,mookid/diffr
dotenv-linter,dotenv-linter/dotenv-linter
dust,bootandy/dust
fd,sharkdp/fd
fw,brocode/fw
git-gone,lunaryorn/git-gone
grex,pemistahl/grex
httpie,ducaale/xh
hx,helix-editor/helix
hyperfine,sharkdp/hyperfine
jiq,fiatjaf/jiq
jql,yamafaktory/jql
just,casey/just
jx,jenkins-x/jx
kondo,tbillington/kondo
lazydocker,jesseduffield/lazydocker
miniserve,svenstaro/miniserve
navi,denisidoro/navi
numbat,sharkdp/numbat
procs,dalance/procs
pueue,Nukesor/pueue
rew,jpikl/rew
rga,phiresky/ripgrep-all
ruff,astral-sh/ruff
rune,rune-rs/rune
rustscan,rustscan/rustscan
rye,astral-sh/rye
sd,chmln/sd
sheldon,rossmacarthur/sheldon
sk,lotabout/skim
sops,mozilla/sops
starship,starship/starship
subify,matcornic/subify
tealdeer,dbrgn/tealdeer
tectonic,tectonic-typesetting/tectonic
termimage,nabijaczleweli/termimage
tokei,XAMPPRocky/tokei
topgrade,topgrade-rs/topgrade
uv,astral-sh/uv
viu,atanunq/viu
xh,ducaale/xh
xsv,BurntSushi/xsv
zoxide,ajeetdsouza/zoxide
